"a","log(a/a-1)","ub_old","ub_k2","lb_k2","ub_k2_add","lb_k2_unadd","ub_k3","lb_k3","ub_k3_add","lb_k3_unadd","ub_k4","lb_k4","ub_k4_add","lb_k4_unadd","ub_k2_unadd","ub_k3_unadd","ub_k4_unadd"
10.34,0.101713616839532,0.099628514394477,0.0735534660684349,0.0421204513965627,0.0719633009597744,0.0423874495189725,0.113798370656373,0.0464540124216781,0.087002806137987,0.0465302573843675,0.817324999172415,0.0469546625764266,-0.917765899764487,0.0466419539908963,0.0735721177489626,0.0959959538427748,0.300855917178193
10.36,0.101506946341836,0.0981202902709294,0.0733059264237733,0.0420511520897687,0.0647878988905997,0.0415669895722281,0.112927524887945,0.0463739596493348,0.215640109582916,0.0460988299770528,0.800857233792114,0.0468772327232224,0.0326129177186689,0.0476941996736018,0.0722881443529767,0.108103676238797,0.334519502170109
10.38,0.101301114719609,0.0991964690206699,0.0730601025954679,0.0419820736236177,0.0662589393286346,0.0416642973073348,0.112068776985818,0.0462941523640785,0.130566439663761,0.0459393027392683,0.784807536156777,0.0467999770382271,-0.409973411067608,0.046153366604288,0.0733510789426429,0.112746874594668,0.15808663588567
10.4,0.101096116871369,0.101585605230841,0.0728159770712964,0.0419132149901448,0.069392405976378,0.042423284654914,0.111221910867301,0.0462145896794194,0.128450375962885,0.0462944667751122,0.769163478328704,0.0467228958966315,0.657865450359023,0.0464402611860243,0.0811814391445356,0.0932976610588516,0.391362202089398
10.42,0.100891947736949,0.100171994355649,0.0725735325698621,0.0418445751869675,0.0702934515541816,0.0413433107543784,0.110386715031259,0.046135270710095,0.128517047736021,0.0454594794929085,0.753913055253893,0.0466459896528358,0.565816733503481,0.0469392317197622,0.0739237375110283,0.108005759983454,1.06978907388287
10.44,0.100688602297083,0.0970552525830034,0.072332752036909,0.0417761532175605,0.0725022874922624,0.0414257433633626,0.109562982446435,0.0460561945725496,0.120710827551839,0.0462595282218715,0.739044668536845,0.0465692586414383,0.0802999165676911,0.0464002682913601,0.0712361445174917,0.0876409549993897,0.45330276119391
10.46,0.10048607557299,0.101251964529788,0.0720936186417293,0.041707948090805,0.060232425415832,0.042226709776211,0.108750510442903,0.0459773603841599,0.0715543299259168,0.0459879635236341,0.724547110909281,0.0464927031759494,-0.247877451784616,0.0464884614413892,0.0709095984916034,0.176029913587075,0.320266310930318
10.48,0.100284362625966,0.0960663353437641,0.0718561157735516,0.0416399588213587,0.0813277041826697,0.0416942642172256,0.107949100606366,0.0458987672642853,0.456444169481545,0.045990285538741,0.71040955135983,0.046416323551613,0.0985547105099514,0.0461628356539219,0.07165206381814,0.0903295554754875,0.674719108547643
10.5,0.100083458556983,0.0981276893783383,0.0716202270381877,0.041572184429325,0.0677927421986395,0.0418935812281967,0.107158558675593,0.0458204143335499,0.147359585116141,0.0451959683001523,0.696621520893975,0.0463401200441947,0.39397868981215,0.0448362567624125,0.07456887736736,0.0931572602489372,0.957086041067408
10.52,0.0998833585062899,0.102191325064507,0.0713859362544297,0.0415046239404027,0.0671643504396369,0.0414187569546887,0.106378694442237,0.0457423007142083,0.234410101304299,0.0454512136879661,0.683172898894094,0.0462640929104209,0.659357773878068,0.0457124972942694,0.0722480410519801,0.117369389658558,0.955817375411827
10.54,0.0996840576530212,0.101710144169283,0.0711532274508828,0.0414372763857437,0.0644574566477675,0.0414415397469186,0.105609321653871,0.045664425530183,0.106057960579713,0.0463264643844241,0.670053900052719,0.0461882423894524,0.775075185166339,0.0456894020970275,0.0731947186312955,0.102761742906221,0.317371526378853
10.56,0.0994855512148055,0.103251882857045,0.0709220848625667,0.0413701408019553,0.0765912546955638,0.0412359904723958,0.104850257919253,0.0455867879070903,0.032124618620674,0.0463129892881987,0.657255061851338,0.0461125687025473,-0.00857422002958469,0.0465861746348835,0.0720524147252365,0.0923669704544792,0.282355109789648
10.58,0.0992878344473842,0.0964366217355962,0.0706924929276903,0.0413032162311061,0.0621905827623362,0.0413749120542613,0.104101324616288,0.0455093869722272,0.124591622264746,0.0451389442502672,0.644767232560278,0.0460370720533021,0.366384887199074,0.0458603406542506,0.0722768927580724,0.0922298015047753,0.31779802257884
10.6,0.099090902644231,0.0959901137470157,0.0704644362845133,0.0412365017206691,0.067529243127796,0.0410650218448254,0.103362346802528,0.0454322218548566,0.127849773274978,0.0453079122257122,0.632581559735632,0.0459617526291344,0.40057401352143,0.0463740619236968,0.0715714307089788,0.124751854830593,0.305898636439045
10.62,0.0988947511361776,0.0984658746994756,0.0702378997681989,0.0411699963233693,0.0731597292233071,0.0411079759405618,0.102633153127945,0.0453552916856445,0.0825657327035528,0.045098531564203,0.620689479190259,0.045886610599648,-0.0559674083147102,0.0457517695930656,0.0692172050646863,0.0933540979612542,0.141466219494893
10.64,0.0986993752910442,0.090640103053232,0.0700128684077852,0.041103699097364,0.0732934850221933,0.0409153206066992,0.101913575750149,0.0452785955975137,0.118322696347741,0.0462902184076953,0.609082704417657,0.0458116461195328,0.27902614566504,0.0448832220185508,0.0687742648301732,0.0846797749945285,0.323936756652444
10.66,0.0985047705132719,0.0900288500566444,0.0697893274231687,0.0410376091060752,0.0797988350815782,0.0417976959323166,0.101203450251784,0.0452021327251139,0.0815652597563918,0.0455508799583682,0.5977532164478,0.0457368593268238,0.343996564140019,0.0456210716916612,0.0708631556050058,0.0845580041178617,0.199132205372961
10.68,0.0983109322435631,0.0975427584882546,0.0695672622221324,0.0409717254181374,0.0651079623062567,0.0414028910817978,0.10050261556012,0.0451259022048812,0.0751644296597699,0.0449751518334985,0.586693254115869,0.0456622503440044,0.198729084973708,0.0456347890870122,0.0732635548885676,0.096469410431236,0.279389558761009
10.7,0.0981178559585234,0.0931388762278461,0.0693466583974846,0.0409060471074486,0.066766689786066,0.0403371943645707,0.0998109138688521,0.0450499031754799,0.0684190543884758,0.045068792136905,0.575895304725053,0.0455878192793677,0.310436853350698,0.0449442907077502,0.0692806708621604,0.101419820597954,0.155171493806347
10.72,0.0979255371703083,0.100577688196152,0.0691275017242049,0.0408405732531571,0.0841754159411191,0.0409306760842261,0.0991281905618793,0.04497413477749,0.08810941762294,0.0450189698737512,0.565352095085898,0.0455135662254998,-0.0253693468036563,0.0468424211048086,0.0704175232814025,0.108720890870232,0.224513255032581
